"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\Zainab\Projects\v3 - Payroll-Auditing Project\application\populate_db\__init__.py", "Python", 0, 15, 1, 16
"c:\Users\Zainab\Projects\v3 - Payroll-Auditing Project\application\populate_db\users.py", "Python", 7, 8, 3, 18
"Total", "-", 7, 23, 4, 34
